Unnamed: 0,ShortName,RegionName,FullName,WebSite,PathToSoft
198,ФГБОУ ВО ХЕРСОНСКОЙ ОБЛАСТИ «ХТУ»,Херсонская область,Федеральное государственное бюджетное образовательное учреждение высшего образования «Херсонский технический университет»,https://htuedu.ru/,https://htuedu.ru/files/specialty_guide.pdf
199,ФГБОУ ВО «ЧГАФКиС»,Пермский край,Федеральное государственное бюджетное образовательное учреждение высшего образования «Чайковская государственная академия физической культуры и спорта»,https://chgafkis.ru/,https://chgafkis.ru/perekhod-na-otechestvennoe-po/
200,"""ФГБОУ ВО ЧГИФКиС""",Республика Саха (Якутия),Федеральное государственное бюджетное образовательное учреждение высшего образования «Чурапчинский государственный институт физической культуры и спорта»,https://chgifkis.ru/,http://chgifkis.ru/sveden/files/rpdUOR23/teoriya-i-istoriya-fizicheskoj-kultury-i-sporta.pdf
203,ФГБОУ ВО «ДонГТУ»,Луганская Народная Республика,Федеральному государственному бюджетному образовательному учреждению высшего образования «Донбасский государственный технический университет»,https://www.dstu.education/,https://www.dstu.education/st_AES_scs.php
204,ЧООВО «ИМЭ»,Республика Дагестан,Частная образовательная организация высшего образования «Институт мировой экономики»,http://www.imeder.ru/,http://www.imeder.ru/ime/obrazovanie/praktika/44.03.02/44.03.02_Proizvod_praktika1_of_ime_21.08.2020.pdf
205,"ЧОУ ВО «Владикавказский институт управления», Владикавказский институт управления, ВИУ",Республика Северная Осетия - Алания,Частное образовательное учреждение высшего образования «Владикавказский институт управления»,http://viu-online.ru/,https://www.viu-online.ru/sveden/objects/
207,"ЧОУ ВО ""ИМТП""",г. Москва,"Частное образовательное учреждение высшего образования  ""Институт международной торговли и права""",https://www.imtp.ru/,https://www.imtp.ru/Electronic-information-and-educational-environment/
208,"ЧОУ ВО ""БАТиП""",г. Санкт-Петербург,"Частное образовательное учреждение высшего образования ""Балтийская академия туризма и предпринимательства""",http://batp.ru/,http://batp.ru/akademiya/obrazovatelnye-programmy/perechen-magisterskih-programm/
209,"ЧОУ ВО АУП, АУП",г. Москва,Частное образовательное учреждение высшего образования «Академия управления и производства»,https://amp1996.ru/,https://amp1996.ru/sveden/education/programs/informacionnye-sistemy-i-tehnologii-napravlennosty-profily-programmno-apparatnye-kompleksy-09.03.02.html
210,ЧОУ ВО «БГИ»,г. Санкт-Петербург,Частное образовательное учреждение высшего образования «Балтийский Гуманитарный Институт»,http://bhi.spb.ru/,http://bhi.spb.ru/oko/ob-opisanii-obrazovatelnoj-programmyi/
211,ЧОУ ВО «ВСИЭП»,Иркутская область,Частное образовательное учреждение высшего образования «Восточно-Сибирский институт экономики и права»,https://vsiep.ru/,https://www.vsiep.ru/sveden/files/000522.pdf
212,ЧОУВО «ДВИК»,Приморский край,Частное образовательное учреждение высшего образования «Дальневосточный институт коммуникаций»,https://www.dvik.info/,https://www.dvik.info/
213,ЧОУ ВО ЕИУБП,Ставропольский край,"Частное образовательное учреждение высшего образования «Ессентукский институт управления, бизнеса и права»",http://eiubp.ru/,"http://eiubp.ru/eios/uchebnyie-planyi,-rabochie-programmyi-discziplin-(modulej),-programmyi-praktik,-elektronnyie-uchebnyie-izdaniya-i-elektronnyie-obrazovatelnyie-resu),-programmax-praktik-po-38.03.01-ekonomika"
214,"ЧОУ ВО «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА», ЧОУ ВО «ИДНК», ИДНК, ЧОУ «ИДНК», ЧОУ «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»",Ставропольский край,Частное образовательное учреждение высшего образования «ИНСТИТУТ ДРУЖБЫ НАРОДОВ КАВКАЗА»,https://www.idnk.ru/,https://www.idnk.ru/sveden/files/2023-2024_38_03_02_Menedghment_god_nabora_2023_OFO_plx_Programmnoe_obespechenie_informacii_biznesa.pdf
215,ЧОУ ВО «ИСГЗ»,Республика Татарстан (Татарстан),Частное образовательное учреждение высшего образования «Институт социальных и гуманитарных знаний»,https://isgz.ru/,https://isgz.ru/sveden/files/Metodicheskie_rekomendacii_po_sostavleniyu_rabochey_programmy_discipliny.pdf
216,"«Кумертауский институт экономики и права», «КИЭП»",Республика Башкортостан,Частное образовательное учреждение высшего образования «Кумертауский институт экономики и права»,https://kiep.ucoz.ru/,
